Position,MP,T,TA,C,P,DG,M,CA,PM,O,BTS,KON,TM,MT,DT,TW,TT,TC,HE,PC,OPC,SPC,LW,LS,YC,RC,age_absdev,caps_age_ratio,league_perf,num_pos_covered
1,0.033707865,0.033707865,0.033707865,0,0,0,0.033707865,0.04494382,0.011235955,0.033707865,0.056179775,0.056179775,0.056179775,0.056179775,0.033707865,0.033707865,0.033707865,0.04494382,0.056179775,0.056179775,0.02247191,0.056179775,0,0,0.033707865,0.04494382,0.033707865,0.04494382,0.056179775,0
2,0.029126214,0.038834951,0.038834951,0,0,0,0.029126214,0.038834951,0.009708738,0.029126214,0.048543689,0.048543689,0.048543689,0.048543689,0.029126214,0.038834951,0.038834951,0.038834951,0.048543689,0.048543689,0.019417476,0.048543689,0.048543689,0.048543689,0.029126214,0.038834951,0.029126214,0.038834951,0.048543689,0
3,0.033707865,0.033707865,0.033707865,0,0,0,0.033707865,0.04494382,0.011235955,0.033707865,0.056179775,0.056179775,0.056179775,0.056179775,0.033707865,0.033707865,0.033707865,0.04494382,0.056179775,0.056179775,0.02247191,0.056179775,0,0,0.033707865,0.04494382,0.033707865,0.04494382,0.056179775,0
4,0.036697248,0.036697248,0.04587156,0,0,0,0.027522936,0.036697248,0.009174312,0.027522936,0.04587156,0.04587156,0.04587156,0.04587156,0.036697248,0.036697248,0.036697248,0.04587156,0.036697248,0.036697248,0.036697248,0.036697248,0.04587156,0.04587156,0.027522936,0.027522936,0.017522936,0.073394495,0.05587156,0
5,0.036697248,0.036697248,0.04587156,0,0,0,0.027522936,0.036697248,0.009174312,0.027522936,0.04587156,0.04587156,0.04587156,0.04587156,0.036697248,0.036697248,0.036697248,0.04587156,0.036697248,0.036697248,0.036697248,0.036697248,0.04587156,0.04587156,0.027522936,0.027522936,0.017522936,0.073394495,0.05587156,0
6,0.024590164,0.040983607,0.032786885,0,0,0,0.032786885,0.032786885,0.008196721,0.040983607,0.032786885,0.040983607,0.049180328,0.040983607,0.040983607,0.049180328,0.049180328,0.040983607,0.040983607,0.032786885,0.032786885,0.032786885,0.040983607,0.040983607,0.032786885,0.032786885,0.040983607,0.032786885,0.049180328,0.032786885
7,0.024390244,0.040650407,0.032520325,0,0,0,0.032520325,0.040650407,0.008130081,0.040650407,0.032520325,0.040650407,0.048780488,0.040650407,0.040650407,0.048780488,0.048780488,0.040650407,0.040650407,0.032520325,0.032520325,0.032520325,0.040650407,0.040650407,0.032520325,0.032520325,0.040650407,0.032520325,0.048780488,0.032520325
8,0.024390244,0.040650407,0.032520325,0,0,0,0.032520325,0.048780488,0.008130081,0.040650407,0.040650407,0.040650407,0.048780488,0.040650407,0.040650407,0.040650407,0.040650407,0.040650407,0.040650407,0.032520325,0.032520325,0.032520325,0.040650407,0.040650407,0.032520325,0.032520325,0.040650407,0.032520325,0.048780488,0.032520325
9,0.05265069,0.05265069,0.042846768,0.013435004,0.013435004,0.023238925,0.062454611,0.062454611,0.072258533,0.05265069,0.013435004,0.05265069,0.023238925,0.023238925,0.003631082,0.013435004,0.013435004,0.033042847,0.033042847,0.042846768,0.033042847,0.05265069,0,0,0.042846768,0.042846768,0.033042847,0.042846768,0.05265069,0
10,0.051013277,0.041579315,0.032145353,0.069881202,0.069881202,0.069881202,0.022711391,0.022711391,0.051013277,0.041579315,0.013277428,0.041579315,0.022711391,0.032145353,0.013277428,0.013277428,0.013277428,0.022711391,0.041579315,0.041579315,0.032145353,0,0,0,0.032145353,0.032145353,0.041579315,0.051013277,0.06044724,0.022711391
11,0.042170884,0.061972864,0.052071874,0.012467913,0.012467913,0.012467913,0.052071874,0.052071874,0.022368904,0.022368904,0.022368904,0.042170884,0.032269894,0.042170884,0.022368904,0.022368904,0.022368904,0.032269894,0.042170884,0.042170884,0.042170884,0,0,0,0.042170884,0.042170884,0.052071874,0.052071874,0.052071874,0.052071874
12,0.036403925,0.053497942,0.044950934,0.0107629,0.0107629,0.0107629,0.062044951,0.044950934,0.019309908,0.044950934,0.053497942,0.044950934,0.044950934,0.044950934,0.044950934,0.019309908,0.019309908,0.027856917,0.036403925,0.036403925,0.036403925,0,0,0,0.036403925,0.036403925,0.044950934,0.044950934,0.044950934,0.044950934
13,0.036403925,0.053497942,0.044950934,0.0107629,0.0107629,0.0107629,0.062044951,0.044950934,0.019309908,0.044950934,0.053497942,0.044950934,0.044950934,0.044950934,0.044950934,0.019309908,0.019309908,0.027856917,0.036403925,0.036403925,0.036403925,0,0,0,0.036403925,0.036403925,0.044950934,0.044950934,0.044950934,0.044950934
14,0.042170884,0.061972864,0.052071874,0.012467913,0.012467913,0.012467913,0.052071874,0.052071874,0.022368904,0.022368904,0.022368904,0.042170884,0.032269894,0.042170884,0.022368904,0.022368904,0.022368904,0.032269894,0.042170884,0.042170884,0.042170884,0,0,0,0.042170884,0.042170884,0.052071874,0.052071874,0.052071874,0.052071874
15,0.04526749,0.04526749,0.036720481,0.011079456,0.011079456,0.011079456,0.062361507,0.04526749,0.019626464,0.019626464,0.04526749,0.036720481,0.062361507,0.062361507,0.036720481,0.019626464,0.019626464,0.036720481,0.04526749,0.04526749,0.04526749,0,0,0,0.036720481,0.036720481,0.04526749,0.04526749,0.053814498,0.019626464
